"taxon_name","taxon_name_original","taxname_source","entity_type_tax","taxon_family","life_stage_generic","life_stage_taxon_specific","caste","sex","trait_name","entity_type","value_type","unit_numeric","value","replicates","measurement_remarks","method_number","observation_number","methods","site_name","site_latitude","site_longitude","site_date_of_visit","site_description","site_fire_impact","collection_date","associated_plant_taxa","plant_relation_description","associated_fauna_taxa","associated_fauna_taxa_synonyms","fauna_relation_description","taxname_issues_description","context","source_key","source_doi","source_citation","source_type","secondary_citation"
"Euastacus guruhgi",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Sed","species",NA,NA,"0.467900008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guruhgi",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Cropland","species",NA,NA,"0.423999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guruhgi",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Livestock","species",NA,NA,"0.481099993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guruhgi",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","HPD","species",NA,NA,"63.10526316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guruhgi",NA,"AFD","species","Parastacidae","all",NA,NA,"all","microhabitat_shelter","species",NA,NA,"1",NA,NA,NA,NA,"I followed Adamowicz & Purvis (2006) and assigned species to four habitat types: (1) streams and rivers, (2) lakes and wetlands, (3) burrows, and (4) caves. I used data from Adamowicz & Purvis (2006) for 490 species, and used IUCN assessments (IUCN 2010), field guides and species descriptions to classify the remaining species. “Strong burrowers” in the Australian scheme of Riek (1972) were also placed in “burrows”, while weak or moderate burrowers were placed in categories “streams and rivers” or “lakes and wetlands” according to other habitat information.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","occipital_carapace_length","species","maximum","mm","65",NA,NA,NA,NA,"I collected maximum body size (mm) from species descriptions, field guides and museum specimens (references available on request). I used maximum body size as mean body size is generally not available for crayfish species. I found three measures of crayfish body size: occipital carapace length (OCL), carapace length (CL), and body length (BL). I used CL as the preferred measure of body size as it was available for most species (397 species). For species for which maximum CL was missing, I preferentially transformed OCL values, as crayfish BL is a more variable measure of crayfish body size than OCL. I corrected OCL into CL for 53 species and BL into CL for 79 species. I developed correction factors between OCL and CL, and BL and CL from a database of morphological measurements of 1,743 specimens. These measurements were obtained from species descriptions, museum plates, museum specimens and field specimens (references available on request). I used species-specific correction factors when available, if not I used genus-specific correction factors (29 species).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","all",NA,NA,"all","fecundity_per_reproductive_event","species","maximum","offspring",NA,NA,NA,NA,NA,"Maximum number of eggs taken from species descriptions, field guides and museum specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","all",NA,NA,"all","microhabitat_activity","species",NA,NA,"water_lotic",NA,NA,NA,NA,"I followed Adamowicz & Purvis (2006) and assigned species to four habitat types: (1) streams and rivers, (2) lakes and wetlands, (3) burrows, and (4) caves. I used data from Adamowicz & Purvis (2006) for 490 species, and used IUCN assessments (IUCN 2010), field guides and species descriptions to classify the remaining species. “Strong burrowers” in the Australian scheme of Riek (1972) were also placed in “burrows”, while weak or moderate burrowers were placed in categories “streams and rivers” or “lakes and wetlands” according to other habitat information.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","EOO","species","raw","km2","7204.62",NA,NA,NA,NA,"I recorded the geographical range size for each species from IUCN (2010).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Temp","species",NA,NA,"132.4132029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","TempSeas","species",NA,NA,"4360.882641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Prec","species",NA,NA,"1010.432763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","PrecSeas","species",NA,NA,"18.04645477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","ElevMin","species",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Consumption","species",NA,NA,"0.43886667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Fragment","species",NA,NA,"0.403166672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Mercury","species",NA,NA,"0.876600007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Pesticide","species",NA,NA,"0.401833336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Sed","species",NA,NA,"0.310700002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Cropland","species",NA,NA,"0.162633332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Livestock","species",NA,NA,"0.160366664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","HPD","species",NA,NA,"7.931540342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus guwinus",NA,"AFD","species","Parastacidae","all",NA,NA,"all","microhabitat_shelter","species",NA,NA,"1",NA,NA,NA,NA,"I followed Adamowicz & Purvis (2006) and assigned species to four habitat types: (1) streams and rivers, (2) lakes and wetlands, (3) burrows, and (4) caves. I used data from Adamowicz & Purvis (2006) for 490 species, and used IUCN assessments (IUCN 2010), field guides and species descriptions to classify the remaining species. “Strong burrowers” in the Australian scheme of Riek (1972) were also placed in “burrows”, while weak or moderate burrowers were placed in categories “streams and rivers” or “lakes and wetlands” according to other habitat information.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","occipital_carapace_length","species","maximum","mm","54.7",NA,NA,NA,NA,"I collected maximum body size (mm) from species descriptions, field guides and museum specimens (references available on request). I used maximum body size as mean body size is generally not available for crayfish species. I found three measures of crayfish body size: occipital carapace length (OCL), carapace length (CL), and body length (BL). I used CL as the preferred measure of body size as it was available for most species (397 species). For species for which maximum CL was missing, I preferentially transformed OCL values, as crayfish BL is a more variable measure of crayfish body size than OCL. I corrected OCL into CL for 53 species and BL into CL for 79 species. I developed correction factors between OCL and CL, and BL and CL from a database of morphological measurements of 1,743 specimens. These measurements were obtained from species descriptions, museum plates, museum specimens and field specimens (references available on request). I used species-specific correction factors when available, if not I used genus-specific correction factors (29 species).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","all",NA,NA,"all","fecundity_per_reproductive_event","species","maximum","offspring","96",NA,NA,NA,NA,"Maximum number of eggs taken from species descriptions, field guides and museum specimens.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","all",NA,NA,"all","microhabitat_activity","species",NA,NA,"water_lotic",NA,NA,NA,NA,"I followed Adamowicz & Purvis (2006) and assigned species to four habitat types: (1) streams and rivers, (2) lakes and wetlands, (3) burrows, and (4) caves. I used data from Adamowicz & Purvis (2006) for 490 species, and used IUCN assessments (IUCN 2010), field guides and species descriptions to classify the remaining species. “Strong burrowers” in the Australian scheme of Riek (1972) were also placed in “burrows”, while weak or moderate burrowers were placed in categories “streams and rivers” or “lakes and wetlands” according to other habitat information.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","EOO","species","raw","km2","1486.34",NA,NA,NA,NA,"I recorded the geographical range size for each species from IUCN (2010).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Temp","species",NA,NA,"154.4235294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","TempSeas","species",NA,NA,"3739.458824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Prec","species",NA,NA,"1519.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","PrecSeas","species",NA,NA,"27.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","ElevMin","species",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Consumption","species",NA,NA,"0.705600023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Fragment","species",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Mercury","species",NA,NA,"0.890799999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Pesticide","species",NA,NA,"0.359299988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Sed","species",NA,NA,"0.474700004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Cropland","species",NA,NA,"0.109499998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
"Euastacus hirsutus",NA,"AFD","species","Parastacidae","adult",NA,NA,"all","Livestock","species",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bland_2017","doi: 10.1111/acv.12350","Bland, L. M. (2017). Global correlates of extinction risk in freshwater crayfish. Animal Conservation, 20(6), 532-542.","dataset",NA
